course,exam_date,exam_time
CS249,30/04/2016,Morning
CH426,30/04/2016,Morning
MM304,30/04/2016,Morning
CB308,30/04/2016,Morning
CE216,30/04/2016,Morning
CB204,30/04/2016,Morning
PH422,30/04/2016,Morning
MM202,30/04/2016,Morning
HS202,1/5/2016,Morning
HS212,1/5/2016,Morning
HS225,1/5/2016,Morning
HS302,1/5/2016,Morning
HS312,1/5/2016,Morning
HS341,1/5/2016,Morning
HS331,1/5/2016,Morning
HS713,1/5/2016,Morning
EE574,1/5/2016,Morning
MA524,1/5/2016,Morning
CS514,1/5/2016,Evening
CE512,1/5/2016,Evening
CH606,1/5/2016,Evening
ME526,1/5/2016,Evening
ME522,1/5/2016,Evening
EE513,1/5/2016,Evening
EE580,1/5/2016,Evening
MM504,1/5/2016,Evening
PH601,1/5/2016,Evening
PH603,1/5/2016,Evening
MH504,1/5/2016,Evening
ME312,1/5/2016,Evening
CE314,1/5/2016,Evening
EE320,1/5/2016,Evening
CS341,1/5/2016,Evening
HS514,2/5/2016,Morning
CS372,2/5/2016,Morning
CS392,2/5/2016,Morning
CH422,2/5/2016,Morning
EP206,2/5/2016,Morning
PH201,2/5/2016,Morning
CS244,2/5/2016,Morning
PH426,2/5/2016,Morning
MA424,2/5/2016,Morning
CB302,2/5/2016,Morning
MA504,2/5/2016,Evening
CE506,2/5/2016,Evening
MH502,2/5/2016,Evening
EE507,2/5/2016,Evening
MM502,2/5/2016,Evening
CB504,2/5/2016,Evening
CS546,2/5/2016,Evening
CE318,2/5/2016,Evening
ME332,2/5/2016,Evening
EE309,2/5/2016,Evening
MM302,2/5/2016,Evening
CS267,2/5/2016,Evening
CS259,3/5/2016,Morning
MA428,3/5/2016,Morning
MA220,3/5/2016,Morning
CE218,3/5/2016,Morning
CH428,3/5/2016,Morning
ME216,3/5/2016,Morning
EE205,3/5/2016,Morning
EE341,3/5/2016,Morning
MM206,3/5/2016,Morning
MM306,3/5/2016,Morning
ME314,3/5/2016,Morning
EP202,3/5/2016,Morning
PH420,3/5/2016,Morning
CB206,3/5/2016,Morning
CB304,3/5/2016,Morning
MA533,3/5/2016,Morning
CS551,3/5/2016,Evening
CE514,3/5/2016,Evening
ME542,3/5/2016,Evening
ME544,3/5/2016,Evening
EE514,3/5/2016,Evening
EE549,3/5/2016,Evening
PH602,3/5/2016,Evening
PH513,3/5/2016,Evening
CH604,3/5/2016,Evening
ME546,3/5/2016,Evening
CS358,3/5/2016,Evening
CE320,3/5/2016,Evening
HS716,4/5/2016,Morning
CS209,4/5/2016,Morning
MA430,4/5/2016,Morning
CE220,4/5/2016,Morning
ME214,4/5/2016,Morning
EE280,4/5/2016,Morning
EE382,4/5/2016,Morning
MM204,4/5/2016,Morning
PH428,4/5/2016,Morning
PH608,4/5/2016,Morning
EP204,4/5/2016,Morning
CB208,4/5/2016,Morning
CB424,4/5/2016,Morning
CH424,4/5/2016,Morning
MA216,4/5/2016,Morning
CS547,4/5/2016,Evening
CS568,4/5/2016,Evening
CE545,4/5/2016,Evening
CH607,4/5/2016,Evening
ME567,4/5/2016,Evening
ME547,4/5/2016,Evening
ME552,4/5/2016,Evening
EE560,4/5/2016,Evening
MM510,4/5/2016,Evening
CB502,4/5/2016,Evening
MA522,4/5/2016,Evening
PH703,4/5/2016,Evening
CE324,4/5/2016,Evening
CS277,5/5/2016,Morning
MA422,5/5/2016,Morning
MA218,5/5/2016,Morning
CE214,5/5/2016,Morning
ME208,5/5/2016,Morning
EE203,5/5/2016,Morning
PH424,5/5/2016,Morning
CB202,5/5/2016,Morning
NT512,5/5/2016,Morning
CH434,5/5/2016,Morning
EE561,5/5/2016,Morning
EE731,5/5/2016,Morning
CE532,5/5/2016,Evening
CE536,5/5/2016,Evening
EE535,5/5/2016,Evening
MM520,5/5/2016,Evening
ME510,5/5/2016,Evening
MA502,5/5/2016,Evening
CB506,5/5/2016,Evening
MA536,5/5/2016,Evening
EP208,5/5/2016,Evening
PH203,5/5/2016,Evening
CS511,5/5/2016,Evening
CE526,5/5/2016,Evening
EE566,5/5/2016,Evening
MA225,6/5/2016,Morning
CH432,6/5/2016,Morning
EE528,6/5/2016,Morning
MA546,6/5/2016,Morning
HS702,6/5/2016,Morning
MA426,6/5/2016,Morning
MA541,6/5/2016,Morning
ME541,6/5/2016,Morning
ME534,6/5/2016,Morning
ME506,6/5/2016,Morning
PH605,6/5/2016,Morning
CE534,6/5/2016,Morning
CE568,6/5/2016,Morning
EE529,6/5/2016,Evening
CS508,6/5/2016,Evening
CE528,6/5/2016,Evening
CE570,6/5/2016,Evening
EE573,6/5/2016,Evening
CS563,6/5/2016,Evening
MM512,6/5/2016,Evening
